Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14514221_1	SRR14514221_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24656052.0	2.4 Gbp	0.0	100.0	42.0	84.84063802098308	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514221_2	SRR14514221_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24656052.0	2.4 Gbp	0.0	100.0	42.0	67.89920759151514	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	warn
SRR14514222_1	SRR14514222_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35145209.0	3.5 Gbp	0.0	100.0	46.0	65.92232994508963	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	warn
SRR14514222_2	SRR14514222_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35145209.0	3.5 Gbp	0.0	100.0	46.0	46.5258617232097	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
SRR14514223_1	SRR14514223_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28761297.0	2.8 Gbp	0.0	100.0	41.0	85.6685484623742	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514223_2	SRR14514223_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28761297.0	2.8 Gbp	0.0	100.0	41.0	66.91052794845135	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514224_1	SRR14514224_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43195669.0	4.3 Gbp	0.0	100.0	43.0	65.64636205607191	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	warn	warn	fail
SRR14514224_2	SRR14514224_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43195669.0	4.3 Gbp	0.0	100.0	44.0	51.95934151230376	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
SRR14514225_1	SRR14514225_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27632771.0	2.7 Gbp	0.0	100.0	41.0	83.81257107722406	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514225_2	SRR14514225_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27632771.0	2.7 Gbp	0.0	100.0	41.0	66.70197874685353	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514226_1	SRR14514226_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34599778.0	3.4 Gbp	0.0	100.0	43.0	76.88785970379037	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
SRR14514226_2	SRR14514226_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34599778.0	3.4 Gbp	0.0	100.0	43.0	60.27857052257279	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
SRR14514227_1	SRR14514227_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27563591.0	2.7 Gbp	0.0	100.0	43.0	77.78218081994963	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514227_2	SRR14514227_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27563591.0	2.7 Gbp	0.0	100.0	43.0	57.93236281514721	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514228_1	SRR14514228_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30588448.0	3 Gbp	0.0	100.0	43.0	78.86564079961754	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514228_2	SRR14514228_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30588448.0	3 Gbp	0.0	100.0	43.0	63.380232175364014	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514229_1	SRR14514229_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55155621.0	5.5 Gbp	0.0	100.0	42.0	77.57757793510103	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
SRR14514229_2	SRR14514229_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55155621.0	5.5 Gbp	0.0	100.0	43.0	60.13375275691565	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514230_1	SRR14514230_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26924771.0	2.6 Gbp	0.0	100.0	43.0	74.04281947648232	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	pass	pass	pass
SRR14514230_2	SRR14514230_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26924771.0	2.6 Gbp	0.0	100.0	43.0	57.384017439900944	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
SRR14514231_1	SRR14514231_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39262634.0	3.9 Gbp	0.0	100.0	41.0	83.25167271466624	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514231_2	SRR14514231_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39262634.0	3.9 Gbp	0.0	100.0	41.0	65.07154815729825	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514232_1	SRR14514232_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32008611.0	3.2 Gbp	0.0	100.0	44.0	77.17126480199212	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514232_2	SRR14514232_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32008611.0	3.2 Gbp	0.0	100.0	44.0	59.695119624962466	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
SRR14514233_1	SRR14514233_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34361034.0	3.4 Gbp	0.0	100.0	43.0	83.65895503834668	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	fail
SRR14514233_2	SRR14514233_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34361034.0	3.4 Gbp	0.0	100.0	43.0	65.43775254010514	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
SRR14514234_1	SRR14514234_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39525785.0	3.9 Gbp	0.0	100.0	42.0	81.99200903950182	100.0	100	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	warn
SRR14514234_2	SRR14514234_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39525785.0	3.9 Gbp	0.0	100.0	41.0	63.091459149969396	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
