Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
SRR14514161_1	0.0	0.05710786208581505	5.56187952493661e-05	0.00017191263986167707	0.0	2.5281270567893685e-06	8.84844469876279e-05	0.00011629384461231095	0.0	0.0	0.0	0.0	0.0	4.677035055060332e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.286564095058388e-05	0.0	0.0	0.0	0.0	0.0	0.00034052310102462846	0.0	0.0	0.0	0.0	0.008465410166067975	4.294324088196532e-05	7.482316704228645e-06	0.0	0.0	0.0	0.0	1.5703081117249098e-06	0.0005597336758628584	0.0	0.0	0.0	0.0	0.00012595868487312256	2.4241127464534828e-05	0.0	0.0	0.0	0.0
SRR14514161_2	0.0	0.0	0.0	2.0225016454314948e-05	3.286565173826179e-05	2.2753143511104317e-05	0.0008064725311158086	0.0	0.0	0.0	0.0002325876892246219	0.0	1.2640635283946841e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0010630774273799296	0.00039438782085914146	0.0	0.0	0.0	0.0	0.0	5.216580148815469e-05	0.0	0.0	0.0	0.0001545376013509677	0.0013755217227073076	0.0010401713470459635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5234851297960885e-05	0.0005781042398069394	0.0	0.0	0.0	3.72480469229518e-05	0.0	0.0	0.0	0.0	0.0	0.0
SRR14514162_1	0.0	0.05727802546049457	6.312062864990105e-05	0.00022486723956527245	0.0	1.5780157162475262e-05	7.495574652175749e-05	0.00014202141446227734	0.0	0.0	0.0	0.0	0.0	5.12855107780446e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.964622897307199e-05	1.9976551523821337e-06	0.0	0.0	0.0	0.0	0.00036863254738226596	0.0	0.0	0.0	0.0	0.008570995509348764	4.400739282287622e-05	8.426019370870842e-06	0.0	2.1302384320490792e-06	0.0	0.0	6.513412440609077e-06	0.0005594966802832714	0.0	0.0	0.0	0.0	0.00012206488871832354	3.331919340807747e-05	0.0	0.0	0.0	0.0
SRR14514162_2	0.0	0.0	0.0	1.1835117871856445e-05	2.7615275034331704e-05	1.1835117871856445e-05	0.0008008429759956194	0.0	0.0	1.9725196453094078e-06	0.00022092220027465363	0.0	9.862598226547036e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0009902048619453226	0.000416201645160285	1.9725196453094078e-06	0.0	0.0	0.0	0.0	5.000525355193816e-05	0.0	0.0	0.0	0.00018297670529664092	0.0013334198048249133	0.0011138137332987168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7430947627802726e-05	0.0005570269131500524	2.207633931907518e-06	0.0	0.0	3.77860260474192e-05	0.0	0.0	0.0	0.0	0.0	0.0
SRR14514163_1	0.0	0.05984999539961871	4.503869789263933e-05	3.860459819369085e-05	0.0	3.217049849474238e-06	0.00018980594111898	6.434099698948476e-06	0.0	0.0	0.0	0.0	0.0	1.4476724322634069e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.227355842688026e-06	6.464669868057381e-05	2.2662812110831966e-05	0.0	0.0	0.0	0.0	0.0008477876906562814	0.0	0.0	0.0	0.0	0.007233625551472782	8.311297313722218e-06	3.833743096574639e-05	0.0	0.0	0.0	0.0	0.0	6.133088323269362e-05	0.0	0.0	0.0	1.7223838315833797e-06	6.0349132144132416e-05	6.213498286524289e-05	0.0	0.0	1.7327995987113376e-06	0.0
SRR14514163_2	0.0	9.651149548422712e-06	6.434099698948476e-06	2.2519348946319663e-05	1.9302299096845424e-05	0.0	0.0007527896647769716	0.0	0.0	3.217049849474238e-06	1.608524924737119e-05	0.0	6.112394714001051e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0007769175386480283	0.000920076256949632	3.217049849474238e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005795174943889937	0.0009912845572423422	0.0016535594520765398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7019656614131298e-06	0.00044771129388478494	1.7160417348900507e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14514164_1	0.0	0.05909240372223849	1.7272167693748922e-05	3.8862377310935074e-05	0.0	1.295412577031169e-05	0.0002936268507937317	0.0	0.0	0.0	0.0	0.0	0.0	1.295412577031169e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.663277881135496e-06	6.290004837447513e-05	3.692949577074725e-05	0.0	0.0	0.0	0.0	0.0007810133204673821	0.0	0.0	0.0	0.0	0.006802498615871245	4.4488546434842485e-06	4.9045578613541685e-05	0.0	0.0	0.0	0.0	0.0	4.5332714813772415e-05	0.0	0.0	0.0	0.0	7.553259924039383e-05	7.56046014060119e-05	0.0	0.0	0.0	0.0
SRR14514164_2	0.0	0.0	0.0	2.1590209617186152e-05	1.7272167693748922e-05	0.0	0.0006131619531280867	0.0	0.0	6.477062885155845e-06	6.477062885155845e-06	0.0	7.988377558358876e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0007146359383288617	0.0008355411121851041	2.1590209617186152e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005445808963612707	0.0009376342277872306	0.0015685940900757765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.805500541275485e-06	0.0003663110840227983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14514165_1	0.0	0.05780425138308024	7.09544820577908e-05	0.0002432725099124256	0.0	1.3515139439579202e-05	7.43332669176856e-05	9.460597607705441e-05	0.0	0.0	0.0	0.0	0.0	5.57499501882642e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.535637119422293e-05	0.0	0.0	0.0	0.0	0.0	0.00032050044915106187	0.0	0.0	0.0	0.0	0.00857049241459463	6.185845491789386e-05	7.094300834217061e-06	0.0	0.0	0.0	0.0	5.424129402370327e-06	0.0005955571220806036	0.0	0.0	0.0	0.0	0.000141321769664236	1.836841084462894e-05	0.0	0.0	0.0	0.0
