sample	assigned_reads	total_reads	assigned_percent	status
SRR14514261	17439936	31316655	55.689	keep
SRR14514270	19949738	35031988	56.9472	keep
SRR14514297	13011068	22355093	58.2018	keep
SRR14514333	22707838	38482178	59.0087	keep
SRR14514337	19983517	33842866	59.0479	keep
SRR14514320	19509516	33001029	59.1179	keep
SRR14514307	23196091	39226330	59.134	keep
SRR14514235	12418580	20987776	59.1705	keep
SRR14514285	20974437	35032068	59.8721	keep
SRR14514347	16670320	27814037	59.9349	keep
SRR14514308	7393648	12113739	61.0352	keep
SRR14514330	12078608	19641111	61.4966	keep
SRR14514313	15713598	25301802	62.1047	keep
SRR14514164	14437814	23158645	62.3431	keep
SRR14514346	15167424	23782653	63.7752	keep
SRR14514340	19160085	28228427	67.8751	keep
SRR14514351	24025395	34278296	70.0892	keep
