Sample	Unique Reads	Duplicate Reads
SRR14514236_2	19349483.0	9271540.0
SRR14514237_1	20215772.0	5649121.0
SRR14514237_2	14882505.0	10982388.0
SRR14514238_1	22526289.0	7352884.0
SRR14514238_2	16178397.0	13700776.0
SRR14514239_1	31480380.0	6487990.0
SRR14514239_2	24160988.0	13807382.0
SRR14514240_1	17582095.0	2410814.0
SRR14514240_2	14241917.0	5750992.0
SRR14514241_1	19593220.0	4271840.0
SRR14514241_2	14735883.0	9129177.0
SRR14514242_1	26487176.0	5171580.0
SRR14514242_2	20704261.0	10954495.0
SRR14514243_1	23001760.0	4723920.0
SRR14514243_2	18408553.0	9317127.0
SRR14514244_1	18763782.0	2450534.0
SRR14514244_2	15207895.0	6006421.0
SRR14514245_1	16738478.0	4492767.0
SRR14514245_2	12970823.0	8260422.0
SRR14514246_1	21719323.0	3493142.0
SRR14514246_2	17271616.0	7940849.0
SRR14514247_1	11645644.0	2660522.0
SRR14514247_2	9592351.0	4713815.0
SRR14514248_1	24798798.0	7177772.0
SRR14514248_2	19490638.0	12485932.0
SRR14514249_1	30580681.0	9480491.0
SRR14514249_2	23831556.0	16229616.0
SRR14514250_1	20621353.0	6268228.0
SRR14514250_2	16388983.0	10500598.0
SRR14514251_1	16677658.0	9578407.0
SRR14514251_2	13173476.0	13082589.0
SRR14514252_1	17558002.0	3570114.0
SRR14514252_2	13526555.0	7601561.0
SRR14514253_1	21904744.0	8033936.0
SRR14514253_2	16545244.0	13393436.0
SRR14514254_1	23734695.0	5368511.0
SRR14514254_2	18086416.0	11016790.0
SRR14514255_1	18684932.0	6388254.0
SRR14514255_2	14563562.0	10509624.0
SRR14514256_1	29880651.0	7812203.0
SRR14514256_2	22553839.0	15139015.0
SRR14514257_1	20221680.0	3533797.0
SRR14514257_2	16218655.0	7536822.0
SRR14514258_1	32921650.0	7030361.0
SRR14514258_2	23947358.0	16004653.0
SRR14514259_1	33620758.0	6957681.0
SRR14514259_2	25911548.0	14666891.0
SRR14514260_1	21266734.0	6503525.0
SRR14514260_2	14710860.0	13059399.0
SRR14514261_1	22222163.0	9094492.0
SRR14514261_2	16306266.0	15010389.0
SRR14514262_1	16854072.0	4090968.0
SRR14514262_2	13009538.0	7935502.0
SRR14514263_1	27306722.0	5768662.0
SRR14514263_2	20442394.0	12632990.0
SRR14514264_1	19045340.0	4621095.0
SRR14514264_2	14361485.0	9304950.0
SRR14514265_1	25670479.0	5082345.0
SRR14514265_2	20071305.0	10681519.0
SRR14514266_1	20548805.0	6714449.0
SRR14514266_2	16355252.0	10908002.0
SRR14514267_1	20063214.0	7654283.0
SRR14514267_2	16004576.0	11712921.0
SRR14514268_1	23565089.0	4456776.0
SRR14514268_2	18494900.0	9526965.0
SRR14514269_1	9540507.0	2276231.0
SRR14514269_2	7569379.0	4247359.0
SRR14514270_1	24836383.0	10195605.0
SRR14514270_2	18298987.0	16733001.0
SRR14514271_1	15461234.0	5238246.0
SRR14514271_2	12380083.0	8319397.0
SRR14514272_1	18397472.0	10912685.0
SRR14514272_2	13734385.0	15575772.0
SRR14514273_1	17885965.0	8491765.0
SRR14514273_2	14416830.0	11960900.0
SRR14514274_1	19580417.0	7391758.0
SRR14514274_2	15625046.0	11347129.0
SRR14514275_1	9895681.0	2486616.0
SRR14514275_2	7932028.0	4450269.0
SRR14514276_1	16525896.0	5096744.0
SRR14514276_2	13466340.0	8156300.0
SRR14514277_1	21164237.0	3742222.0
SRR14514277_2	16772600.0	8133859.0
SRR14514278_1	20700248.0	6502286.0
