Sample	Unique Reads	Duplicate Reads
SRR14514236_2	20374513.0	9594355.0
SRR14514237_1	20949554.0	5909799.0
SRR14514237_2	15614114.0	11245239.0
SRR14514238_1	23541032.0	7835247.0
SRR14514238_2	17178149.0	14198130.0
SRR14514239_1	32566904.0	6768329.0
SRR14514239_2	25251425.0	14083808.0
SRR14514240_1	18337389.0	2568389.0
SRR14514240_2	14957707.0	5948071.0
SRR14514241_1	20387448.0	4557368.0
SRR14514241_2	15484715.0	9460101.0
SRR14514242_1	27456111.0	5404766.0
SRR14514242_2	21648567.0	11212310.0
SRR14514243_1	23801328.0	4897603.0
SRR14514243_2	19169470.0	9529461.0
SRR14514244_1	19554751.0	2700107.0
SRR14514244_2	15944303.0	6310555.0
SRR14514245_1	17283267.0	4670705.0
SRR14514245_2	13516261.0	8437711.0
SRR14514246_1	22370186.0	3630342.0
SRR14514246_2	17906512.0	8094016.0
SRR14514247_1	12082691.0	2783401.0
SRR14514247_2	10027814.0	4838278.0
SRR14514248_1	25793284.0	7462309.0
SRR14514248_2	20434088.0	12821505.0
SRR14514249_1	31990132.0	10160869.0
SRR14514249_2	25208067.0	16942934.0
SRR14514250_1	22206574.0	6867778.0
SRR14514250_2	17852358.0	11221994.0
SRR14514251_1	17533866.0	9988337.0
SRR14514251_2	13985835.0	13536368.0
SRR14514252_1	18472969.0	3832138.0
SRR14514252_2	14389468.0	7915639.0
SRR14514253_1	22825466.0	8388601.0
SRR14514253_2	17462320.0	13751747.0
SRR14514254_1	24530156.0	5595995.0
SRR14514254_2	18858824.0	11267327.0
SRR14514255_1	19538838.0	6814089.0
SRR14514255_2	15451504.0	10901423.0
SRR14514256_1	31045479.0	8149758.0
SRR14514256_2	23666768.0	15528469.0
SRR14514257_1	20896309.0	3676028.0
SRR14514257_2	16855267.0	7717070.0
SRR14514258_1	33927719.0	7384759.0
SRR14514258_2	24935255.0	16377223.0
SRR14514259_1	34760677.0	7262687.0
SRR14514259_2	27033658.0	14989706.0
SRR14514260_1	22094369.0	6862234.0
SRR14514260_2	15491999.0	13464604.0
SRR14514261_1	23055360.0	9478727.0
